City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Butaritari,KI,80.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Balabac,PH,83.71,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
12,Labuhan,ID,80.85,overcast clouds,-6.8844,112.2051,DoubleFAG
16,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
60,Namatanai,PG,85.41,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
61,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
62,Niono,ML,85.87,overcast clouds,14.2526,-5.993,Hôtel Campement
63,Coahuayana,MX,81.01,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
65,Loa Janan,ID,80.11,overcast clouds,-0.583,117.095,Ss
66,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
67,San Patricio,US,86.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
69,Bosaso,SO,83.66,clear sky,11.2842,49.1816,Red Sea Hotel
72,Port-Gentil,GA,80.69,light rain,-0.7193,8.7815,Fengshui Residence
81,Kavieng,PG,84.67,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
83,Susangerd,IR,80.15,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
86,Siwana,IN,82.06,clear sky,25.6333,72.4167,Surbhi nivas
87,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
88,Arawa,PG,87.73,scattered clouds,-6.2132,155.5367,Coastline Guest House
96,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
106,Hithadhoo,MV,82.38,broken clouds,-0.6,73.0833,Scoop Guest House
109,Rockport,US,82.99,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
115,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
117,Lorengau,PG,85.5,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Aden,YE,88.16,clear sky,12.7794,45.0367,Sama Emirate Hotel
139,Kadhan,PK,81.72,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
144,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
158,Urucui,BR,81.77,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
159,Aswan,EG,86.81,clear sky,24.0934,32.907,Nuba Nile
169,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
173,Nabire,ID,84.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
174,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
176,Isabela,PH,80.65,moderate rain,6.7085,121.9711,Isawad Resort
183,Bandarbeyla,SO,80.74,clear sky,9.4942,50.8122,JABIR HOTEL
186,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
194,Dingle,PH,84.29,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
195,Salimpur,IN,89.29,clear sky,28.128,76.2766,Ashok kumar
201,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
203,Haikou,CN,80.73,few clouds,20.0458,110.3417,Sun City Restaurant
225,Isla Mujeres,MX,80.65,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
228,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
230,Tecoanapa,MX,84.27,overcast clouds,16.5167,-98.75,Hotel Manglares
232,Eyl,SO,82.29,few clouds,7.9803,49.8164,Amiin Hotel
240,Pemangkat,ID,82.45,overcast clouds,1.1667,108.9667,Ramah Kost KITA
242,Riohacha,CO,87.91,few clouds,11.5444,-72.9072,Hotel Taroa
251,Chabahar,IR,81.52,clear sky,25.2919,60.643,هتل گدروشیا
257,Sur,OM,82.09,clear sky,22.5667,59.5289,Sur Plaza Hotel
266,Bantul,ID,82.2,overcast clouds,-7.8881,110.3289,dOmah Hotel Yogya
273,Srandakan,ID,82.42,overcast clouds,-7.9386,110.2506,Puri Brata
275,Buala,SB,84.9,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
276,Yanam,IN,84.22,few clouds,16.7333,82.2167,The Regency Hotel
297,Manama,BH,82.35,clear sky,26.2154,50.5832,Al Safir Hotel
298,Karaton,ID,81.1,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
300,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
