City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chara,RU,56.9064,118.2631,40.69,63,48,1.97,scattered clouds
1,Hovd,MN,48.0056,91.6419,54.54,17,0,2.1,clear sky
2,Sao Filipe,CV,14.8961,-24.4956,75.79,69,100,7.72,overcast clouds
3,Isangel,VU,-19.55,169.2667,77.94,61,96,13.65,overcast clouds
4,Vicuna,CL,-30.0319,-70.7081,47.93,52,1,2.04,clear sky
5,Butaritari,KI,3.0707,172.7902,80.82,74,18,7.45,few clouds
6,Punta Arenas,CL,-53.15,-70.9167,44.71,81,20,14.97,few clouds
7,Tongchuan,CN,35.0806,109.0897,55.08,56,100,0.47,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,12.52,89,15,3.71,few clouds
9,Balabac,PH,7.9868,117.0645,83.71,76,96,4.45,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,40.66,81,20,11.5,few clouds
11,Lodja,CD,-3.4833,23.4333,72.34,74,36,1.3,scattered clouds
12,Labuhan,ID,-6.8844,112.2051,80.85,85,100,5.37,overcast clouds
13,Vaini,TO,-21.2,-175.2,78.96,65,75,10.36,broken clouds
14,Nyakabindi,TZ,-2.6333,33.9833,64.62,83,89,3.58,overcast clouds
15,Anadyr,RU,64.75,177.4833,45.1,70,40,11.18,scattered clouds
16,Denpasar,ID,-8.65,115.2167,80.26,94,20,3.44,few clouds
17,Grand Gaube,MU,-20.0064,57.6608,75.6,78,22,4.0,few clouds
18,Airai,TL,-8.9266,125.4092,66.67,83,64,1.19,broken clouds
19,Caravelas,BR,-17.7125,-39.2481,74.23,74,100,7.72,overcast clouds
20,Tiksi,RU,71.6872,128.8694,17.19,88,27,5.61,scattered clouds
21,Busselton,AU,-33.65,115.3333,58.73,67,100,4.76,overcast clouds
22,Shishou,CN,29.7226,112.419,59.16,77,100,8.12,overcast clouds
23,Esperance,AU,-33.8667,121.9,51.64,72,92,16.17,light rain
24,Hermanus,ZA,-34.4187,19.2345,56.21,79,8,7.92,clear sky
25,Evensk,RU,61.95,159.2333,36.72,95,100,7.45,overcast clouds
26,Sabha,LY,27.0377,14.4283,67.91,26,0,10.11,clear sky
27,Namibe,AO,-15.1961,12.1522,71.26,67,0,2.33,clear sky
28,Rikitea,PF,-23.1203,-134.9692,76.53,72,20,21.3,few clouds
29,Bengkulu,ID,-3.8004,102.2655,77.52,90,60,3.8,broken clouds
30,Chuy,UY,-33.6971,-53.4616,59.0,86,90,3.53,overcast clouds
31,Usinsk,RU,65.9939,57.5281,45.34,93,78,8.46,broken clouds
32,Sindor,RU,62.8629,51.8905,44.06,96,98,4.79,overcast clouds
33,Broome,US,42.2506,-75.833,70.57,81,0,5.75,clear sky
34,Zverinogolovskoye,RU,54.4586,64.8542,48.38,69,38,7.2,scattered clouds
35,Cidreira,BR,-30.1811,-50.2056,63.99,94,100,6.11,moderate rain
36,Nurota,UZ,40.5614,65.6886,59.41,50,0,4.99,clear sky
37,Lebu,CL,-37.6167,-73.65,49.84,85,10,11.39,clear sky
38,Mataura,NZ,-46.1927,168.8643,50.49,69,77,3.27,broken clouds
39,Nanortalik,GL,60.1432,-45.2371,31.51,82,100,6.11,overcast clouds
40,Rio Grande,BR,-32.035,-52.0986,58.95,92,100,6.11,overcast clouds
41,Ngama,TD,11.7833,17.1667,88.14,45,28,7.96,scattered clouds
42,Timizart,DZ,36.8,4.2667,67.23,64,9,5.53,clear sky
43,Mahebourg,MU,-20.4081,57.7,75.49,69,40,5.75,scattered clouds
44,Yantal,RU,56.8471,105.2542,64.08,31,89,0.58,overcast clouds
45,Bethel,US,41.3712,-73.414,69.89,83,100,8.05,overcast clouds
46,Saskylakh,RU,71.9167,114.0833,30.02,92,100,13.31,overcast clouds
47,Kungurtug,RU,50.5994,97.5228,55.22,26,69,0.4,broken clouds
48,Castro,BR,-24.7911,-50.0119,57.83,84,100,3.62,light rain
49,Sangar,RU,63.9242,127.4739,34.25,50,39,0.29,scattered clouds
50,East London,ZA,-33.0153,27.9116,60.21,78,1,4.23,clear sky
51,Bluff,NZ,-46.6,168.3333,50.81,70,98,9.8,overcast clouds
52,Villa Carlos Paz,AR,-31.4241,-64.4978,50.4,34,100,5.01,overcast clouds
53,Clyde River,CA,70.4692,-68.5914,21.43,79,40,10.36,scattered clouds
54,Alofi,NU,-19.0595,-169.9187,78.69,61,96,11.5,overcast clouds
55,Touros,BR,-5.1989,-35.4608,78.33,87,23,11.18,few clouds
56,Yellowknife,CA,62.456,-114.3525,59.56,36,75,15.01,broken clouds
57,Tonj,SS,7.2737,28.6822,77.59,71,100,6.49,light rain
58,Lavrentiya,RU,65.5833,-171.0,31.57,99,100,4.68,snow
59,Guerrero Negro,MX,27.9769,-114.0611,67.73,58,15,18.48,few clouds
60,Namatanai,PG,-3.6667,152.4333,85.41,62,10,3.65,clear sky
61,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,20.71,few clouds
62,Niono,ML,14.2526,-5.993,85.87,12,97,10.89,overcast clouds
63,Coahuayana,MX,18.7333,-103.6833,81.01,66,100,4.25,overcast clouds
64,Azovo,RU,54.6997,73.0237,58.75,75,100,11.79,overcast clouds
65,Loa Janan,ID,-0.583,117.095,80.11,86,99,2.06,overcast clouds
66,Kununurra,AU,-15.7667,128.7333,84.18,65,0,4.61,clear sky
67,San Patricio,US,28.017,-97.5169,86.18,69,0,14.79,clear sky
68,Peskovka,RU,59.0448,52.3606,42.89,96,31,6.13,scattered clouds
69,Bosaso,SO,11.2842,49.1816,83.66,48,0,5.59,clear sky
70,Port Alfred,ZA,-33.5906,26.891,59.92,81,0,5.97,clear sky
71,Beibei,CN,29.8256,106.4339,63.25,93,100,2.71,overcast clouds
72,Port-Gentil,GA,-0.7193,8.7815,80.69,84,100,8.79,light rain
73,Lashio,MM,22.9333,97.75,70.03,94,91,1.19,overcast clouds
74,Albany,US,42.6001,-73.9662,74.05,77,100,4.72,overcast clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,100,11.5,overcast clouds
76,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,98,1.01,overcast clouds
77,Pavlysh,UA,48.9176,33.3569,51.4,84,6,8.99,clear sky
78,Iqaluit,CA,63.7506,-68.5145,22.73,74,75,20.71,broken clouds
79,Barrow,US,71.2906,-156.7887,30.22,86,0,18.41,clear sky
80,Arman,RU,59.7,150.1667,41.02,92,100,12.73,light rain
81,Kavieng,PG,-2.5744,150.7967,84.67,64,33,6.22,scattered clouds
82,Ponta Do Sol,PT,32.6667,-17.1,67.01,83,26,7.47,scattered clouds
83,Susangerd,IR,31.5608,48.1831,80.15,14,3,8.57,clear sky
84,Narsaq,GL,60.9167,-46.05,39.42,79,100,2.91,overcast clouds
85,Lasa,IT,46.6166,10.7002,59.88,91,56,1.72,broken clouds
86,Siwana,IN,25.6333,72.4167,82.06,56,0,11.86,clear sky
87,Paracuru,BR,-3.41,-39.0306,82.11,86,97,10.2,overcast clouds
88,Arawa,PG,-6.2132,155.5367,87.73,61,26,4.14,scattered clouds
